TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6723862,1313.2543,140205,0,45,0,0,1,0,1,0.28906956,1,199.7,7.5
2,4,1024,10,1,5377856,4201.45,140766,0,46,0,0,1,0,1,0.4353395,2,266.7,11.5
3,8,8192,10,1,727775,4548.5938,54192,0,45,1,0,4,1,1,1.1256089,3,138.8,6.8
4,16,32768,10,1,182663,4566.575,14593,0,251,5,1,52,3,10,8.4328785,4,115.9,5.6
5,32,131072,10,1,45716,4571.6,2480,2,392,16,3,254,10,24,26.758469,5,123.8,6.2
6,64,524288,15,2,17148,4572.8,1854,9,1472,69,16,701,47,103,110.960625,6,136.8,6.7
7,128,512,20,3,21424716,4184.5146,967530,0,603,3,0,105,1,5,7.139176,7,340.6,14.1
8,256,2048,25,4,7078292,4423.9326,21731,0,2009,56,2,1405,24,106,121.09701,8,177.8,6.9
9,512,16384,30,5,1080254,4501.058,5592,1,4099,622,13,3361,254,1196,850.50555,9,144.8,5.8
10,1024,65536,35,6,315709,4510.1284,2245,6,7047,2601,114,6570,1450,3489,2709.1167,10,144.8,5.9
11,2048,1024,40,7,22425152,4379.9126,109473,0,6028,109,1,2323,39,310,279.62695,11,276.6,12.4
12,2048,65536,40,7,367709,4596.3623,4985,1,5729,526,3,3265,123,1025,730.19055,12,160.7,7.3
13,2048,262144,40,7,90528,4526.4,11786,7,9595,1540,18,5707,605,2692,1795.04,13,236.6,11.4
