TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,65536,10,1,44479,2223.95,2393,1,35,3,1,27,2,4,4.2248225,1,51.9,2.4
2,4,65536,10,1,84314,4215.7,3945,1,72,5,1,66,3,19,14.159696,2,102.9,5.0
3,8,65536,10,1,91376,4568.8,6966,1,100,4,1,20,3,6,5.4221935,3,108.9,5.3
4,16,65536,10,1,91391,4569.55,7915,1,229,8,2,42,5,13,10.596842,4,112.9,5.5
5,32,65536,10,1,91427,4571.35,5162,1,297,10,2,242,6,18,20.801628,5,117.9,5.9
6,64,65536,15,2,137028,4567.6,10528,1,649,19,3,292,12,29,35.17952,6,120.8,5.7
7,128,65536,20,3,182818,4570.45,847,1,2050,717,8,1922,378,942,709.0838,7,134.8,5.8
8,256,65536,25,4,222390,4447.8,1545,2,4822,1257,5,3686,458,2030,1320.69,8,138.8,6.0
9,512,65536,30,5,274512,4575.2,4702,1,4764,503,4,2884,114,1274,756.31775,9,136.8,5.9
10,1024,65536,35,6,312061,4458.014,5563,1,8210,2016,3,5676,25,3081,1914.9377,10,143.8,6.5
11,2048,65536,40,7,365090,4563.625,1929,1,7324,1805,2,6092,1021,2991,2073.3972,11,156.7,7.0
