TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS)
1,2,65536,10,1,44435,2221.75,2328,1,29,3,1,13,2,3,2.7564433
2,4,65536,10,1,84813,4240.65,3839,1,45,3,1,8,2,3,2.9002345
3,8,65536,10,1,91421,4571.05,6781,1,108,4,1,18,3,5,4.827459
4,16,65536,10,1,91412,4570.6,5904,1,464,6,1,103,4,10,10.140752
5,32,65536,10,1,91388,4569.4,4550,1,457,12,2,239,7,20,23.116922
6,64,65536,15,2,137022,4567.4,6683,1,957,18,2,497,10,32,47.48676
7,128,65536,20,3,182721,4568.025,8583,1,1883,26,3,1353,14,51,98.021324
8,256,65536,25,4,226558,4531.16,1352,3,4206,1390,37,3463,878,1796,1392.5377
9,512,65536,30,5,251483,4191.3833,1149,2,7516,2046,18,5678,1025,3255,2205.1619
10,1024,65536,35,6,315230,4503.2856,1775,8,6404,2220,226,5893,1665,3536,2527.5188
11,2048,65536,40,7,366274,4578.425,3976,2,6398,473,4,5228,38,1444,1007.9082
