TestNumber,NumClients,MessageSize(Bytes),Duration(Sec),LatencyDruation(Sec),MessagesSent,Throughput(MegaBits/Sec),LatencyMessagesSent,MinLatency(MS),MaxLatency(MS),MedianLatency(MS),1PercentileLatency,99PercentileLatency,25PercentileLatency,75PercentileLatency,AverageLatency(MS),TestNumber,JVMMedian,WholeSysMedian
1,2,256,10,1,6680140,1304.7148,76963,0,962,0,0,883,0,1,20.727362,1,199.8,8.0
2,2,512,10,1,5321086,2078.5493,95106,0,45,0,0,1,0,1,0.30282,2,200.7,8.1
3,2,1024,10,1,3505775,2738.8867,76470,0,46,0,0,1,0,1,0.39187917,3,161.8,7.2
4,2,2048,10,1,1855503,2899.2234,62267,0,44,0,0,1,0,1,0.45966563,4,105.9,5.1
5,2,8192,10,1,440965,2756.0312,20908,0,8,1,0,2,0,1,0.81968623,5,72.9,3.4
6,2,16384,10,1,203975,2549.6875,9466,0,9,1,0,3,1,1,1.1180012,6,62.9,2.9
7,2,32768,10,1,108721,2718.025,4844,0,14,2,0,4,1,2,1.6224195,7,64.9,2.9
8,2,65536,10,1,49626,2481.3,2422,1,38,2,1,5,2,3,2.3662262,8,56.9,2.8
9,2,131072,10,1,23140,2314.0,1160,1,59,4,2,8,3,5,4.1043105,9,54.9,2.5
10,2,262144,10,1,12206,2441.2,576,3,190,7,3,23,5,8,7.4288197,10,60.9,3.0
11,2,524288,10,1,6347,2538.8,243,5,268,12,6,218,9,15,15.172839,11,66.9,3.3
12,2,1048576,10,1,2784,2227.2,126,11,339,22,11,325,17,27,28.349207,14,346.6,14.5
13,4,256,10,1,12798124,2499.6335,287137,0,46,0,0,2,0,1,0.33795017,15,235.7,10.2
14,4,512,10,1,10177288,3975.5032,198290,0,85,0,0,1,0,1,0.35002774,17,141.8,6.8
15,4,1024,10,1,5572252,4353.322,178518,0,49,0,0,1,0,1,0.43732285,19,110.9,5.2
16,4,2048,10,1,2858168,4465.8877,110823,0,49,1,0,1,0,1,0.54212576,22,117.9,5.7
17,4,8192,10,1,724829,4530.181,33208,0,45,1,0,3,1,1,0.8821669,24,130.8,6.2
18,4,16384,10,1,363762,4547.025,17278,0,17,1,0,3,1,1,1.0909828,25,554.3,23.7
19,4,32768,10,1,182615,4565.375,9071,0,34,2,0,4,1,2,1.6422665,26,359.6,15.0
20,4,65536,10,1,91386,4569.3,4657,1,50,2,1,5,2,3,2.4928064,28,202.8,9.0
21,4,131072,10,1,45691,4569.1,2026,1,94,4,2,11,3,5,4.490622,29,126.8,5.6
22,4,262144,10,1,22862,4572.4,1031,3,87,7,3,14,5,9,7.6391854,12,63.9,3.0
24,4,1048576,10,1,5639,4511.2,258,11,365,24,12,89,18,30,27.848837,16,201.8,8.0
25,8,256,10,1,19464888,3801.7358,510289,0,54,0,0,2,0,1,0.4280594,18,139.8,6.2
26,8,512,10,1,10633420,4153.6797,397900,0,47,0,0,2,0,1,0.48734605,20,104.9,5.1
27,8,1024,10,1,5589068,4366.4595,269027,0,84,1,0,2,0,1,0.5862311,21,110.9,5.2
28,8,2048,10,1,2859226,4467.5405,186499,0,49,1,0,3,0,1,0.7631194,23,0.0,0.0
29,8,8192,10,1,727777,4548.6064,54847,0,210,1,0,9,1,2,1.6163327,27,242.7,10.8
30,8,16384,10,1,364862,4560.775,31273,0,30,2,0,12,1,3,2.4689348,30,114.9,5.7
31,8,32768,10,1,182648,4566.2,14810,0,53,2,1,16,1,3,3.08447,31,129.8,6.1
32,8,65536,10,1,91382,4569.1,6373,1,212,3,1,12,2,5,4.4713635,32,107.9,5.1
33,8,131072,10,1,45713,4571.3,3034,1,222,5,2,45,4,7,6.568227,33,120.9,5.8
34,8,262144,10,1,22868,4573.6,1535,3,84,9,3,78,7,12,10.538762,34,122.8,5.8
35,8,524288,10,1,11427,4570.8,771,6,280,15,7,114,11,19,18.001297,35,126.8,6.1
36,8,1048576,10,1,5709,4567.2,320,11,786,26,12,382,20,35,42.80625,36,137.8,6.6
37,16,256,10,1,19610915,3830.257,711051,0,51,1,0,2,0,1,0.57747614,37,497.3,20.6
38,16,512,10,1,10699749,4179.5894,597522,0,59,1,0,4,0,1,0.8683245,38,339.5,15.0
39,16,1024,10,1,5589855,4367.074,409765,0,209,1,0,7,1,1,1.133928,39,233.7,10.4
40,16,2048,10,1,2861915,4471.742,199014,0,66,1,0,15,1,2,2.2329485,40,181.8,8.2
41,16,8192,10,1,727823,4548.8936,49458,0,213,3,0,34,1,8,5.9166565,41,112.9,5.5
42,16,16384,10,1,364830,4560.375,29003,0,84,4,1,31,2,8,6.2765574,42,116.9,5.8
43,16,32768,10,1,182622,4565.55,14205,0,248,5,1,39,3,11,8.208447,43,114.9,5.7
44,16,65536,10,1,91384,4569.2,7051,1,233,7,2,48,4,11,9.624309,44,112.9,5.5
45,16,131072,10,1,45709,4570.9,3764,2,279,10,2,58,6,16,13.034803,45,112.9,5.6
46,16,262144,10,1,22856,4571.2,1627,3,187,16,5,162,11,23,20.834665,46,121.8,6.0
47,16,524288,10,1,11437,4574.8,895,7,256,24,8,209,17,32,30.516201,47,129.8,6.3
48,16,1048576,10,1,5715,4572.0,336,12,1390,27,12,908,22,39,81.5119,48,133.8,7.0
49,32,256,10,1,19643779,3836.6758,772739,0,212,1,0,14,1,1,1.3634163,49,490.4,20.6
50,32,512,10,1,10713343,4184.8994,476817,0,258,1,0,11,1,1,1.3887488,50,305.6,12.7
51,32,1024,10,1,5597102,4372.736,365198,0,252,2,0,25,1,4,3.98839,51,212.7,9.3
52,32,2048,10,1,2863022,4473.4717,145675,0,235,3,0,24,1,7,5.422461,52,163.8,6.8
53,32,8192,10,1,727519,4546.9937,43909,0,871,7,0,48,3,14,10.730944,53,124.8,6.0
54,32,16384,10,1,364791,4559.8877,20260,0,292,9,1,59,4,15,12.005972,54,124.8,6.2
55,32,32768,10,1,182689,4567.225,8146,0,673,8,1,182,4,16,15.446845,55,117.9,5.7
56,32,65536,10,1,91400,4570.0,4496,1,471,12,2,227,7,21,20.817392,56,115.9,5.6
57,32,131072,10,1,45719,4571.9,1755,2,454,18,3,384,10,27,36.68889,57,121.8,6.1
58,32,262144,10,1,22864,4572.8,1662,5,531,27,7,233,16,39,35.55054,58,126.8,6.5
59,32,524288,10,1,11441,4576.4,753,5,809,27,7,636,18,53,67.61222,59,133.8,6.9
60,32,1048576,10,1,5721,4576.8,318,13,1662,42,15,1566,27,80,180.58176,60,141.8,7.4
61,64,256,15,2,29474761,3837.8594,1074925,0,252,1,0,29,1,2,2.5089908,61,489.4,19.5
62,64,512,15,2,16061528,4182.6895,834169,0,648,2,0,36,1,3,3.6064622,62,305.6,12.2
63,64,1024,15,2,8389207,4369.3784,775586,0,753,7,0,93,3,16,13.324082,63,211.7,8.6
