TestNumber,JVMMedian,WholeSysMedian
1,199.8,8.0
2,200.7,8.1
3,161.8,7.2
4,105.9,5.1
5,72.9,3.4
6,62.9,2.9
7,64.9,2.9
8,56.9,2.8
9,54.9,2.5
10,60.9,3.0
11,66.9,3.3
14,346.6,14.5
15,235.7,10.2
17,141.8,6.8
19,110.9,5.2
22,117.9,5.7
24,130.8,6.2
25,554.3,23.7
26,359.6,15.0
28,202.8,9.0
29,126.8,5.6
12,63.9,3.0
13,399.8,17.4
16,201.8,8.0
18,139.8,6.2
20,104.9,5.1
21,110.9,5.2
23,0.0,0.0
27,242.7,10.8
30,114.9,5.7
31,129.8,6.1
32,107.9,5.1
33,120.9,5.8
34,122.8,5.8
35,126.8,6.1
36,137.8,6.6
37,497.3,20.6
38,339.5,15.0
39,233.7,10.4
40,181.8,8.2
41,112.9,5.5
42,116.9,5.8
43,114.9,5.7
44,112.9,5.5
45,112.9,5.6
46,121.8,6.0
47,129.8,6.3
48,133.8,7.0
49,490.4,20.6
50,305.6,12.7
51,212.7,9.3
52,163.8,6.8
53,124.8,6.0
54,124.8,6.2
55,117.9,5.7
56,115.9,5.6
57,121.8,6.1
58,126.8,6.5
59,133.8,6.9
60,141.8,7.4
61,489.4,19.5
62,305.6,12.2
63,211.7,8.6
64,165.8,6.8
65,129.8,6.2
66,129.8,6.2
67,122.8,5.7
68,121.8,5.8
69,127.8,6.2
71,139.8,6.8
72,0.0,0.0
73,473.3,18.3
77,135.8,6.0
79,127.8,5.8
80,127.8,5.8
83,0.0,0.0
84,0.0,0.0
85,482.3,18.8
86,317.6,12.7
87,233.7,9.6
88,185.9,7.4
89,145.8,6.0
91,139.8,5.9
93,140.8,6.2
96,0.0,0.0
97,500.3,19.4
98,332.6,12.5
99,239.7,9.7
104,140.8,6.1
105,144.8,6.6
106,169.8,7.8
108,0.0,0.0
109,511.3,20.4
110,321.5,12.8
115,139.8,6.1
116,143.8,6.2
117,156.8,7.3
118,202.7,9.1
119,0.0,0.1
121,523.1,21.5
70,131.8,6.4
74,313.6,12.6
75,222.7,9.3
76,178.8,7.2
78,133.8,6.0
81,135.8,6.2
82,141.8,6.5
90,142.8,6.0
92,140.8,6.1
94,149.8,6.9
95,155.8,7.2
100,193.7,8.0
101,150.8,6.2
102,145.8,6.3
103,135.8,6.0
107,0.0,0.0
111,252.7,10.4
112,204.8,8.6
113,235.6,10.2
114,146.8,6.2
120,511.1,24.1
122,396.3,16.9
123,354.4,16.3
124,212.6,9.2
125,158.7,6.8
126,803.6,36.8
127,252.8,12.7
128,161.7,7.4
129,181.6,9.1
130,301.2,14.7
131,463.2,22.8
132,1162.5,69.9
